t,time,price,load,pv_forecast
1,00:10:00,0.4248,3439.8466,0.0
2,00:20:00,0.4245,3437.9792,0.0
3,00:30:00,0.4269,3444.3031,0.0
4,00:40:00,0.4272,3454.4437,0.0
5,00:50:00,0.4271,3458.8273,0.0
6,01:00:00,0.4285,3459.8401,0.0
7,01:10:00,0.4311,3467.1582,0.0
8,01:20:00,0.4302,3467.9632,0.0
9,01:30:00,0.4279,3466.9683,0.0
10,01:40:00,0.4312,3482.4927,0.0
11,01:50:00,0.4333,3495.0841,0.0
12,02:00:00,0.4311,3498.4443,0.0
13,02:10:00,0.4293,3505.2295,0.0
14,02:20:00,0.4324,3512.6387,0.0
15,02:30:00,0.4367,3516.8685,0.0
16,02:40:00,0.4348,3517.9246,0.0
17,02:50:00,0.4335,3518.5518,0.0
18,03:00:00,0.4357,3521.0976,0.0
19,03:10:00,0.4374,3526.9261,0.0
20,03:20:00,0.4371,3537.2854,0.0
21,03:30:00,0.4356,3544.8808,0.0
22,03:40:00,0.4353,3541.2787,0.0
23,03:50:00,0.436,3546.3976,0.0
24,04:00:00,0.4378,3560.207,0.0
25,04:10:00,0.4401,3561.9581,0.0
26,04:20:00,0.4389,3556.7183,0.0
27,04:30:00,0.4364,3560.0272,0.0
28,04:40:00,0.4393,3580.654,0.5994
29,04:50:00,0.4422,3586.916,0.2345
30,05:00:00,0.4395,3571.2635,0.2885
31,05:10:00,0.4333,3562.3171,18.6781
32,05:20:00,0.4439,3591.3809,54.4698
33,05:30:00,0.4301,3579.7045,108.9718
34,05:40:00,0.3713,3486.119,184.1603
35,05:50:00,0.5708,3823.8994,277.0582
36,06:00:00,0.9099,4398.0727,388.5494
37,06:10:00,0.9368,4454.0123,521.2803
38,06:20:00,0.8758,4371.7919,672.7677
39,06:30:00,0.8759,4392.953,844.2261
40,06:40:00,0.8601,4384.5956,1039.6744
41,06:50:00,0.8442,4434.7757,1259.3375
42,07:00:00,0.8334,4523.4561,1508.6318
43,07:10:00,0.8092,4524.0721,1791.4107
44,07:20:00,0.7972,4545.8867,2085.4865
45,07:30:00,0.7644,4523.2418,2381.2611
46,07:40:00,0.6899,4383.3566,2683.1752
47,07:50:00,0.86,4910.4599,2986.3552
48,08:00:00,1.1617,5799.7327,3289.204
49,08:10:00,1.1683,5884.826,3593.3613
50,08:20:00,1.0956,5748.0713,3890.7332
51,08:30:00,1.0849,5769.0581,4181.3417
52,08:40:00,1.061,5754.2105,4471.7657
53,08:50:00,1.043,5824.1807,4752.8272
54,09:00:00,1.036,5954.2601,5021.9074
55,09:10:00,1.0147,5958.9696,5285.4126
56,09:20:00,0.9922,5929.5554,5543.1742
57,09:30:00,0.97,5923.7828,5788.4093
58,09:40:00,0.9422,5907.586,6012.1304
59,09:50:00,0.9569,5899.1262,6216.1528
60,10:00:00,0.9977,5902.2196,6409.5941
61,10:10,0.9919,5897.4793,6599.3808
62,10:20,0.9588,5886.7568,6766.7204
63,10:30,0.9549,5873.4708,6914.5923
64,10:40,0.9839,5858.0308,7064.2053
65,10:50,0.799,5844.9948,7197.4315
66,11:00,0.5025,5839.0587,7303.1142
67,11:10,0.4662,5838.7103,7387.6848
68,11:20,0.5007,5823.4378,7459.227
69,11:30,0.4827,5814.7932,7520.7191
70,11:40,0.4785,5832.3951,7568.2039
71,11:50,0.4662,5712.901,7592.1539
72,12:00,0.4432,5519.4607,7601.0433
73,12:10,0.4411,5494.7907,7612.316
74,12:20,0.4551,5514.4524,7602.6524
75,12:30,0.4463,5485.829,7554.1872
76,12:40,0.4113,5462.3628,7472.7384
77,12:50,0.5682,5566.1066,7393.4172
78,13:00,0.8279,5725.7548,7312.7979
79,13:10,0.8636,5739.4957,7194.541
80,13:20,0.8416,5714.6836,7053.1371
81,13:30,0.8618,5717.8505,6910.4064
82,13:40,0.8623,5708.2486,6772.4075
83,13:50,0.9026,5696.9182,6607.36
84,14:00,0.9754,5692.2983,6412.5085
85,14:10,1.0002,5687.1291,6214.0158
86,14:20,0.9978,5678.962,6000.7112
87,14:30,1.0271,5669.4508,5766.9816
88,14:40,1.0906,5664.1948,5521.5066
89,14:50,0.9376,5672.7011,5268.781
90,15:00,0.6694,5682.2544,5009.7152
91,15:10,0.66,5669.0195,4743.4484
92,15:20,0.7217,5656.3651,4471.224
93,15:30,0.7308,5657.0867,4188.2025
94,15:40,0.7534,5662.6008,3889.3931
95,15:50,0.7823,5669.2596,3594.5946
96,16:00,0.8055,5673.4767,3303.8878
97,16:10,0.8271,5671.0146,2998.4247
98,16:20,0.8519,5661.5926,2687.4131
99,16:30,0.8791,5665.8922,2383.1779
100,16:40,0.9024,5689.0372,2089.1246
101,16:50,0.9163,5603.6614,1791.0829
102,17:00,0.9264,5466.7124,1501.7283
103,17:10,0.9462,5467.3939,1255.1723
104,17:20,0.9742,5464.727,1036.3323
105,17:30,0.9862,5492.4458,836.7775
106,17:40,0.976,5621.7308,665.2313
107,17:50,1.0742,5091.2126,516.6758
108,18:00,1.2313,4208.5688,386.6731
109,18:10,1.2561,4122.7611,275.7933
110,18:20,1.2447,4255.9358,182.9526
111,18:30,1.2545,4225.9524,108.3414
112,18:40,1.2522,4233.3384,54.3121
113,18:50,1.2881,4246.4625,18.6569
114,19:00,1.3466,4239.1795,0.2753
115,19:10,1.3523,4244.6684,0.2296
116,19:20,1.3445,4251.9187,0.6007
117,19:30,1.3483,4256.6813,0.0
118,19:40,1.349,4267.3947,0.0
119,19:50,1.3473,4269.975,0.0
120,20:00,1.3482,4268.6702,0.0
121,20:10,1.3513,4282.2245,0.0
122,20:20,1.34,4291.7049,0.0
123,20:30,1.3489,4291.3611,0.0
124,20:40,1.3952,4293.9182,0.0
125,20:50,1.2226,4295.2135,0.0
126,21:00,0.9332,4302.0307,0.0
127,21:10,0.9068,4320.9618,0.0
128,21:20,0.9371,4302.3292,0.0
129,21:30,0.9371,4322.6758,0.0
130,21:40,0.9871,4428.8083,0.0
131,21:50,0.7764,4030.1614,0.0
132,22:00,0.4209,3362.7419,0.0
133,22:10,0.3859,3309.3934,0.0
134,22:20,0.4368,3412.9563,0.0
135,22:30,0.4198,3381.9313,0.0
136,22:40,0.4186,3386.5592,0.0
137,22:50,0.4241,3400.4846,0.0
138,23:00,0.4237,3399.2426,0.0
139,23:10,0.4248,3406.9809,0.0
140,23:20,0.424,3416.1518,0.0
141,23:30,0.422,3421.9811,0.0
142,23:40,0.424,3429.6923,0.0
143,23:50,0.4271,3439.061,0.0
144,0:00+1,0.4276,3444.7259,0.0
